Net Sales,Duration,Agency Type,ID,Product Name,Commision (in value),Destination,Distribution Channel,Age,Agency
59.0,91,1,26611,10,0.0,15,1,36,7
26.5,24,0,50772,9,6.63,74,1,55,2
10.0,145,1,57038,10,0.0,26,1,35,7
94.0,42,1,5466,1,0.0,40,1,36,7
36.5,12,1,57038,18,23.73,81,1,55,11
109.0,145,0,22144,24,42.18,88,1,30,9
109.0,145,1,57038,5,42.18,15,1,26,11
15.0,6,0,57038,24,6.0,11,1,45,12
109.0,145,1,50175,5,42.18,89,1,28,11
13.12,141,0,51305,22,3.68,74,1,48,13
25.0,7,1,3515,1,0.0,15,1,48,7
22.0,31,0,49728,8,7.7,32,1,55,9
9.9,15,0,57038,22,0.49,74,1,48,13
9.9,10,0,4913,22,1.66,74,1,48,13
18.5,14,0,36776,17,4.63,74,1,40,2
15.0,8,0,34885,24,6.0,11,1,25,12
29.7,6,1,35483,16,17.82,83,1,38,6
10.0,6,1,48554,10,0.0,74,1,36,7
28.0,3,1,10140,0,0.0,15,1,36,7
28.0,9,1,3515,1,0.0,83,1,44,7
16.0,8,0,57038,9,4.0,74,1,32,2
10.0,20,1,18955,10,0.0,53,1,36,7
69.3,39,1,7103,16,41.58,1,1,55,6
27.0,10,0,57038,9,6.75,74,1,48,2
62.0,5,1,18849,1,0.0,40,1,36,7
29.7,3,1,31043,16,17.82,53,1,48,6
9.9,19,1,40572,1,0.0,65,1,36,7
16.0,85,1,14299,10,0.0,40,1,36,7
10.0,57,1,57038,10,0.0,35,1,35,7
109.0,64,0,25870,13,31.69,74,1,31,2
69.3,69,1,7959,16,41.58,88,1,40,6
9.9,17,1,12983,16,17.82,26,1,55,6
22.0,50,1,24265,10,0.0,36,1,32,7
29.0,6,0,57038,17,7.25,74,1,36,2
10.0,3,1,57038,10,0.0,53,1,35,7
109.0,40,1,17384,1,0.0,35,1,36,7
44.0,10,1,3515,10,0.0,83,1,36,7
97.0,145,1,36239,14,0.0,74,0,29,15
60.0,114,1,16685,10,0.0,62,1,36,7
34.0,48,1,28195,10,0.0,44,1,36,7
109.0,145,0,31382,4,42.18,74,1,34,2
17.0,14,1,15220,10,0.0,83,1,36,7
13.0,6,1,57038,10,0.0,74,1,55,7
10.0,75,1,26616,10,0.0,67,1,36,7
46.0,20,1,37646,1,0.0,44,1,36,7
30.0,9,1,24788,1,0.0,36,1,45,7
19.8,23,1,4430,16,11.88,88,1,52,6
35.25,12,0,15295,9,8.81,74,1,55,2
